Country,Question ID,Response,Justification,Supporting0,Supporting1,Supporting2,Supporting4
Argentina,ODB.2013.D14.j,0,,,,,
Argentina,ODB.2013.D15.g,1,,2011,9/29/2014,irregular,
Argentina,ODB.2013.D15.h,1,,,,,
Argentina,ODB.2013.D15.j,0,,,,,
Argentina,ODB.2013.D15.i,1,,,,,
Argentina,ODB.2013.D16.c,0,,,,,
Argentina,ODB.2013.D16.d,0,,,,,
Argentina,ODB.2013.D16.f,1,,,,,
Argentina,ODB.2013.D16.e,1,,,,,
Argentina,ODB.2013.D16.g,1,,9/30/2014,9/30/2014,daily,
Argentina,ODB.2013.D16.i,1,,,,,
Argentina,ODB.2013.D16.h,1,,,,,
Argentina,ODB.2013.D16.j,0,,,,,
Australia,ODB.2013.D1.a,1,,"Geoscience Australia's National Geographic Information Group is the Australian Government's National Mapping Agency. 

Department of Communications that opened up  ‘National Map Open Data’ initiative, which aims to give users access to a single platform for Government geospatial datasets, including those from the Bureau of Meteorology, Australian Bureau of Statistics and data.gov.au.

The Australian Bureau of Statistics looks after statistical geography. 

The Department of Infrastructure and Regional Development keeps data on roads and related infrastructure.",,,"The Maps have various information that includes such as official administrative borders, roads and other important infrastructure - railways, land tenure, maritime zones, etc"
Australia,ODB.2013.D1.b,1,,"http://www.ga.gov.au/scientific-topics/geographic-information/topographic-maps-data

http://nationalmap.nicta.com.au/

http://data.gov.au/dataset?q=Maps&sort=score+desc%2C+metadata_modified+desc&ext_bbox=&ext_prev_extent=56.953125%2C-67.87554134672943%2C211.640625%2C42.553080288955826

http://nationalmap.nicta.com.au/

http://www.abs.gov.au/websitedbs/D3310114.nsf/home/Geography?opendocument#from-banner=LN",Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).,,
Australia,ODB.2013.D1.c,1,,"http://nationalmap.nicta.com.au/

http://data.gov.au/dataset?q=Maps&sort=score+desc%2C+metadata_modified+desc&ext_bbox=&ext_prev_extent=56.953125%2C-67.87554134672943%2C211.640625%2C42.553080288955826","xml, csv, wms, wfs",,Map data is also available on Open data website - http://nationalmap.nicta.com.au/
Australia,ODB.2013.D1.d,1,,http://data.gov.au/dataset/australian-topography-map-service,Data can be accessed through bulk web services.,,
Australia,ODB.2013.D1.e,1,,The Map data sets can freely be accessed from the agencies that are responsible for map data.,,,
Australia,ODB.2013.D1.f,1,,Creative Commons Attribution 3.0 Australia,http://creativecommons.org/licenses/by/3.0/au/,,
Australia,ODB.2013.D2.a,1,,"Each State and Territory has a central land registration, the majority of which are available online, for example in Victoria there is the The Department of Transport, Planning and Local Infrastructure (DTPLI) which provides online access to land titles and in the ACT there is the Land Titles Public Register.",,,Information from various websites includes land ownership registries - http://australia.gov.au/content/land-titles
Australia,ODB.2013.D2.b,1,,"http://australia.gov.au/content/land-titles

http://www.dtpli.vic.gov.au/property-and-land-titles/property-information/statistics

http://www.ors.act.gov.au/community/land_titles/land_titles_public_register

https://www.landgate.wa.gov.au/corporate.nsf/web/Tenure+Data

http://australia.gov.au/content/land-titles",Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).,,
Australia,ODB.2013.D4.a,1,,"Australian Bureau of Statistics

The Australian Government is responsible for the release of the national statistics dataset and there is opportunity to request more data via data.gov.au data request site. These data sets are collated from the Australian Bureau of Statistics as well as local data (as census data is published retrospectively after the data has been collected).",,,"The national statistics on the Australian Bureau of Statistics includes information on population and housing characteristics of the people in the country. Data includes information on education levels, marital status, religious affiliations, employment, housing, among others"
Australia,ODB.2013.D4.b,1,,"http://data.gov.au/

http://datagovau.ideascale.com/

http://www.abs.gov.au/websitedbs/censushome.nsf/home/data

http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/0

http://www.abs.gov.au/websitedbs/censushome.nsf/home/historicaldata?opendocument&navpos=280

http://www.abs.gov.au/AUSSTATS/abs@.nsf/ViewContent?readform&view=ProductsbyCatalogue&Action=Expand&Num=2.2",Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).,,
Australia,ODB.2013.D4.c,1,,"http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2075.02011?OpenDocument

http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/3218.02012-13?OpenDocument",xls,,
Australia,ODB.2013.D4.d,0,,,,,
Australia,ODB.2013.D4.e,1,,Data on the Australian Bureau of Statistics Can freely be accessed at no cost,http://www.abs.gov.au/websitedbs/d3310114.nsf/4a256353001af3ed4b2562bb00121564/83b66e9ffafd6dabca257140007575b5!OpenDocument,,
Australia,ODB.2013.D4.f,1,,Attribution 2.5 Australia,http://creativecommons.org/licenses/by/2.5/au/,,
Australia,ODB.2013.D6.a,1,,"Department of Finance

The Parliament of Australia is responsible for data on government spending in the country as is the Australian Bureau of Statistics",,,The information with the department of finance includes monthly government spending on various items in different government agencies. It is published through monthly financial statements
Australia,ODB.2013.D6.b,1,,"http://www.finance.gov.au/publications/commonwealth-monthly-financial-statements/

http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Budget_Office/reports/Australian_Government_spending

http://www.abs.gov.au/ausstats/abs@.nsf/mf/5519.0.55.001",Cannot locate open data from third party but may exist - see http://infoaus.net/budget/index.php,,
Australia,ODB.2013.D5.a,1,,"Ministry of Finance 
Open Data portal - data.gov.au",,,The information includes government expected expenditures on various sectors and revenues in Australia
Australia,ODB.2013.D5.b,1,,"http://data.gov.au/dataset/budget-2014-15-tables-and-data

http://budget.gov.au/2014-15/index.htm",Open data is available freely through the government however some third party organisations offer data set visualisation (though they retrieve the original data from the government).,,
Australia,ODB.2013.D5.c,1,,http://data.gov.au/dataset/budget-2014-15-tables-and-data,xls,,
